Left Sensor Time,Left Hip,Left Knee,Right Sensor Time,Right Hip,Right Knee
5999,62.32,66.42,5999,59.16,66.57
6015,62.32,66.42,6015,59.16,66.57
6032,62.32,66.42,6032,59.16,66.57
6049,62.32,66.42,6049,59.16,66.57
6065,62.32,66.42,6065,59.16,66.57
6082,62.32,66.35,6082,59.16,66.57
6098,62.32,66.42,6098,59.16,66.57
6115,62.32,66.35,6115,59.16,66.57
6132,62.32,66.35,6132,59.16,66.57
6148,62.32,66.42,6148,59.16,66.57
6165,62.32,66.42,6165,59.16,66.57
6181,62.32,66.42,6181,59.16,66.57
6198,62.32,66.35,6198,59.16,66.57
6215,62.32,66.42,6215,59.16,66.57
6231,62.32,66.42,6231,59.16,66.57
6248,62.32,66.42,6248,59.16,66.57
6264,62.32,66.35,6264,59.16,66.57
6281,62.32,66.42,6281,59.16,66.57
6298,62.39,66.42,6298,59.16,66.57
6314,62.32,66.42,6314,59.16,66.57
6330,62.32,66.42,6330,59.16,66.57
6347,62.32,66.35,6347,59.16,66.57
6364,62.32,66.42,6364,59.16,66.57
6381,62.32,66.42,6381,59.16,66.57
6397,62.32,66.42,6397,59.16,66.57
6413,62.32,66.42,6413,59.16,66.57
6430,62.32,66.42,6430,59.16,66.57
6447,62.32,66.42,6447,59.16,66.57
6464,62.32,66.42,6464,59.16,66.57
6480,62.32,66.42,6480,59.16,66.57
6496,62.32,66.35,6496,59.16,66.57
6513,62.32,66.42,6513,59.16,66.57
6529,62.32,66.42,6529,59.16,66.57
6547,62.32,66.35,6547,59.16,66.57
6563,62.32,66.42,6563,59.16,66.57
6579,62.32,66.42,6579,59.16,66.57
6596,62.32,66.35,6596,59.16,66.57
6612,62.32,66.42,6612,59.16,66.57
6629,62.32,66.42,6629,59.16,66.57
6646,62.32,66.42,6646,59.16,66.57
6662,62.32,66.42,6662,59.16,66.57
6679,62.32,66.42,6679,59.16,66.57
6695,62.32,66.42,6695,59.16,66.57
6712,62.32,66.42,6712,59.16,66.57
6729,62.32,66.42,6729,59.16,66.57
6745,62.32,66.42,6745,59.16,66.57
6762,62.39,66.42,6762,59.16,66.57
6778,62.32,66.42,6778,59.16,66.57
6795,62.32,66.42,6795,59.16,66.57
6812,62.32,66.42,6812,59.16,66.57
6828,62.32,66.42,6828,59.16,66.57
6845,62.32,66.42,6845,59.22,66.57
6861,62.32,66.35,6861,59.16,66.57
6878,62.32,66.42,6878,59.16,66.57
6895,62.32,66.35,6895,59.16,66.57
6911,62.32,66.42,6911,59.16,66.57
6927,62.32,66.42,6927,59.16,66.57
6944,62.32,66.35,6944,59.16,66.57
6961,62.32,66.42,6961,59.16,66.57
6978,62.32,66.42,6978,59.16,66.57
6994,62.32,66.42,6994,59.16,66.57
7010,62.32,66.42,7010,59.16,66.57
7027,62.32,66.42,7027,59.16,66.57
7043,62.32,66.42,7043,59.16,66.57
7061,62.32,66.42,7061,59.16,66.57
7077,62.32,66.42,7077,59.16,66.57
7093,62.32,66.42,7093,59.16,66.57
7110,62.32,66.35,7110,59.16,66.57
7126,62.32,66.42,7126,59.16,66.57
7144,62.32,66.42,7144,59.16,66.57
7160,62.32,66.42,7160,59.16,66.57
7176,62.32,66.42,7176,59.16,66.57
7193,62.32,66.35,7193,59.16,66.57
7209,62.32,66.35,7209,59.16,66.57
7226,62.32,66.42,7226,59.16,66.57
7243,62.32,66.42,7243,59.16,66.57
7259,62.32,66.35,7259,59.16,66.57
7276,62.32,66.42,7276,59.16,66.57
7292,62.32,66.35,7292,59.16,66.57
7309,62.32,66.42,7309,59.16,66.57
7326,62.32,66.35,7326,59.16,66.57
7342,62.32,66.42,7342,59.16,66.57
7359,62.32,66.42,7359,59.16,66.57
7375,62.32,66.42,7375,59.16,66.57
7392,62.32,66.42,7392,59.16,66.57
7409,62.32,66.42,7409,59.16,66.57
7425,62.32,66.35,7425,59.16,66.57
7441,62.32,66.42,7441,59.16,66.57
7458,62.32,66.42,7458,59.16,66.57
7475,62.32,66.35,7475,59.16,66.57
7492,62.32,66.35,7492,59.16,66.57
7508,62.32,66.42,7508,59.16,66.57
7524,62.39,66.35,7524,59.16,66.57
7541,62.32,66.42,7541,59.16,66.57
7558,62.32,66.42,7558,59.16,66.57
7575,62.32,66.42,7575,59.16,66.57
7591,62.32,66.42,7591,59.16,66.57
7607,62.32,66.42,7607,59.16,66.57
7624,62.32,66.42,7624,59.16,66.57
7640,62.32,66.42,7640,59.16,66.57
7658,62.32,66.42,7658,59.16,66.57
7674,62.32,66.42,7674,59.16,66.57
7690,62.32,66.42,7690,59.16,66.57
7707,62.32,66.42,7707,59.16,66.57
7723,62.32,66.42,7723,59.16,66.57
7741,62.32,66.35,7741,59.16,66.57
7757,62.32,66.42,7757,59.16,66.57
7773,62.32,66.42,7773,59.16,66.57
7790,62.32,66.35,7790,59.16,66.57
0,inf,inf,0,inf,66.57
15,62.32,66.35,15,59.16,66.57
32,62.32,66.35,32,59.16,66.57
48,62.32,66.35,48,59.16,66.57
65,62.32,66.35,65,59.16,66.57
81,62.32,66.35,81,59.16,66.57
97,62.32,66.35,97,59.16,66.57
114,62.32,66.35,114,59.16,66.57
130,62.32,66.35,130,59.16,66.57
148,62.32,66.35,148,59.16,66.57
164,62.32,66.35,164,59.16,66.57
180,62.32,66.35,180,59.16,66.57
197,62.32,66.35,197,59.16,66.57
213,62.32,66.35,213,59.16,66.57
229,62.32,66.35,229,59.16,66.57
247,62.32,66.35,247,59.16,66.57
263,62.32,66.42,263,59.16,66.57
280,62.32,66.35,280,59.16,66.57
296,62.32,66.35,296,59.16,66.57
312,62.32,66.35,312,59.16,66.57
329,62.32,66.42,329,59.16,66.57
345,62.32,66.35,345,59.16,66.57
363,62.32,66.35,363,59.16,66.57
379,62.32,66.42,379,59.16,66.57
395,62.32,66.35,395,59.16,66.57
412,62.32,66.42,412,59.16,66.57
428,62.32,66.35,428,59.16,66.57
445,62.32,66.35,445,59.16,66.57
461,62.32,66.35,461,59.16,66.57
478,62.32,66.42,478,59.16,66.57
495,62.32,66.35,495,59.16,66.57
511,62.32,66.35,511,59.16,66.57
527,62.32,66.35,527,59.16,66.57
544,62.32,66.42,544,59.16,66.57
560,62.32,66.42,560,59.16,66.57
578,62.32,66.42,578,59.16,66.57
594,62.32,66.35,594,59.16,66.57
610,62.32,66.35,610,59.16,66.57
627,62.32,66.35,627,59.16,66.57
643,62.32,66.35,643,59.16,66.57
660,62.32,66.35,660,59.16,66.57
676,62.32,66.42,676,59.16,66.57
693,62.32,66.35,693,59.16,66.57
710,62.32,66.42,710,59.16,66.57
726,62.32,66.35,726,59.16,66.57
742,62.32,66.42,742,59.16,66.57
759,62.32,66.35,759,59.16,66.57
775,62.32,66.35,775,59.16,66.57
793,62.32,66.35,793,59.16,66.57
809,62.32,66.42,809,59.16,66.57
825,62.32,66.42,825,59.16,66.57
842,62.32,66.42,842,59.16,66.57
858,62.32,66.42,858,59.16,66.57
875,62.32,66.42,875,59.16,66.57
891,62.32,66.42,891,59.16,66.57
908,62.32,66.42,908,59.16,66.57
925,62.32,66.42,925,59.16,66.57
